EventNumber DecayParticle1_ime DecayParticle1_bozon DecayParticle1_mass DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle1_E DecayParticle1_pt DecayParticle2_ime DecayParticle2_bozon DecayParticle2_mass DecayParticle2_px DecayParticle2_py DecayParticle2_pz DecayParticle2_E DecayParticle2_pt
1 b 0 4.18 18.704 -2.9 25.28 31.8559 18.9275 b 0 4.18 14.696 -69.6 37.92 80.7188 71.1346
2 b 0 4.18 90.981 -0.207 -0 91.0772 90.9812 b 0 4.18 0.918999 -20.493 -39.4 44.6166 20.5136
3 b 0 4.18 3.784 -21.708 -49.956 54.7598 22.0353 b 0 4.18 90.816 -58.692 -22.444 110.515 108.131
4 b 0 4.18 25.2 -0.26 -17.16 30.7741 25.2013 b 0 4.18 25.2 -0.74 -54.34 60.0491 25.2109
5 b 0 4.18 -42.33 15.834 -2.84 45.4762 45.1945 b 0 4.18 -40.67 38.766 -11.36 57.475 56.1859
6 tau+ 0 1.77 -55.622 -1.38 -16.08 57.9432 55.6391 tau- 0 1.77 -40.278 -10.12 -37.52 55.9966 41.5299
7 b 0 4.18 -1.206 -49.896 7.42 50.6319 49.9106 b 0 4.18 -5.494 -42.504 19.08 47.0988 42.8576
8 tau+ 0 1.77 -37.12 -4.44 0.132 37.4267 37.3846 tau- 0 1.77 -20.88 -14.06 0.968 25.2533 25.1726
9 b 0 4.18 13.35 19.084 1.881 23.7367 23.2899 b 0 4.18 75.65 17.616 3.819 77.8801 77.674
10 b 0 4.18 -6.72 19.584 -15.232 26.0418 20.7049 b 0 4.18 -38.08 18.816 -29.568 51.9217 42.475
11 b 0 4.18 49.118 6.39 0 49.708 49.5319 b 0 4.18 10.782 29.11 69.2 75.9589 31.0426
12 W+ 1 80.4 -6.667 -6.68 19.425 83.25 9.43776 W- 1 80.4 -4.633 -26.72 73.075 111.98 27.1187
13 b 0 4.18 -2.528 1.65 9.744 11.0241 3.01882 b 0 4.18 -0.672 31.35 51.156 60.1472 31.3572
14 b 0 4.18 -29.498 -4.56 7.488 31.0559 29.8484 b 0 4.18 -30.702 -33.44 11.712 47.069 45.3965
15 b 0 4.18 1.992 29.4 36.386 47.0079 29.4674 b 0 4.18 14.608 40.6 42.714 60.8581 43.148
16 W+ 1 80.4 -37.525 1.302 0 88.7355 37.5476 W- 1 80.4 -9.975 4.898 16.4 82.8047 11.1126
17 b 0 4.18 -17.746 -1.902 43.992 47.6582 17.8476 b 0 4.18 -75.654 -61.498 12.408 98.3716 97.4963
18 W+ 1 80.4 11.247 11.732 50.652 96.405 16.2522 W- 1 80.4 37.653 72.068 29.748 118.155 81.3114
19 b 0 4.18 22.275 -0.96 -1.379 22.726 22.2957 b 0 4.18 5.225 -7.04 -18.321 20.7363 8.76711
20 b 0 4.18 3.825 -53.534 -11.964 55.1464 53.6705 b 0 4.18 18.675 -21.866 -87.736 92.4227 28.7555
21 b 0 4.18 -2.1 -12.64 -3.768 13.9946 12.8133 b 0 4.18 -15.4 -3.16 -43.332 46.2848 15.7209
22 b 0 4.18 17.76 9.13 -9.405 22.4655 19.9693 b 0 4.18 6.24 73.87 -53.295 91.3977 74.1331
23 b 0 4.18 3.906 52.377 3.038 52.776 52.5224 b 0 4.18 23.994 13.923 40.362 49.1541 27.741
24 b 0 4.18 4.944 -45.288 4.122 45.9338 45.5571 b 0 4.18 56.856 -15.912 18.778 62.0957 59.0406
25 tau+ 0 1.77 4.104 -1.29 -17.8 18.3978 4.30197 tau- 0 1.77 3.496 -20.21 -26.7 33.7148 20.5101
26 tau+ 0 1.77 -33.596 4.634 -11.22 35.7657 33.9141 tau- 0 1.77 -11.804 28.466 -82.28 87.8793 30.8164
27 b 0 4.18 5.74 -2.001 2.149 7.68389 6.07878 b 0 4.18 2.46 -6.699 28.551 29.7247 7.1364
28 b 0 4.18 14.948 44.1 0 46.7517 46.5645 b 0 4.18 25.452 25.9 84.7 92.2506 36.3127
29 b 0 4.18 11.76 1.484 -5.682 13.7934 11.8533 b 0 4.18 2.94 9.116 -89.018 89.6294 9.57836
30 W+ 1 80.4 -27.405 -0.315 -3.612 85.0196 27.4068 W- 1 80.4 -4.095 -4.185 -56.588 98.4919 5.85519
31 b 0 4.18 -4.296 -4.08 -24.512 25.5619 5.9247 b 0 4.18 -49.404 -2.72 -52.088 71.9638 49.4788
32 Z 1 91.2 -32.742 13.702 9.432 98.3168 35.4934 Z 1 91.2 -31.458 30.498 42.968 109.925 43.8148
33 b 0 4.18 -77.503 0.012 0.646 77.6183 77.503 b 0 4.18 -2.397 0.588 63.954 64.138 2.46807
34 W+ 1 80.4 14.28 24.696 -6.08 85.5274 28.5274 W- 1 80.4 57.12 9.604 -69.92 121.276 57.9218
35 b 0 4.18 71.004 -1.788 0 71.1494 71.0265 b 0 4.18 2.196 -57.812 42.6 71.9672 57.8537
